Genre,Year,Stream
Hip Hop,2005,1040234854
Hip Hop,2001,617259738
Rock,1999,1055738398
Rock,1991,1061750522
Rock,2002,866464951
Rock,1999,613838674
Rock,1999,732774515
Rock,2006,860722316
Rock,2006,550067391
Rock,2002,367485508
Rock,1991,301947159
Rock,2016,385677873
Dance/Electronic,2016,202477187
Metal,1986,0
Metal,1998,327681785
Rock,1972,327681785
Metal,1988,0
Dance/Electronic,2000,1483622308
Dance/Electronic,2008,1325575712
Dance/Electronic,2015,475353044
Dance/Electronic,2017,2030825694
Dance/Electronic,2017,2030825694
Dance/Electronic,2002,1465980600
Dance/Electronic,2014,1021782403
Dance/Electronic,2014,1021782403
Dance/Electronic,2011,927288329
Dance/Electronic,2012,927288329
Dance/Electronic,2015,1049654852
Dance/Electronic,2005,1115171056
Dance/Electronic,2013,844698895
Dance/Electronic,2013,844698895
Dance/Electronic,2001,471747761
Dance/Electronic,1997,293417547
Dance/Electronic,2001,292668007
Metal,2000,1444841705
Metal,2003,1195213410
Hip Hop,2004,778880225
Rock,1993,1101854725
Rock,1997,379349681
Rock,1997,382823305
Rock,1995,219867047
Rock,1979,1143164505
Rock,1990,1088388556
Rock,1980,1182379398
Rock,1980,802076123
Dance/Electronic,2009,1001227038
Dance/Electronic,2003,752091441
Dance/Electronic,2011,331578264
Dance/Electronic,2010,363930118
Pop,1982,1302677366
Pop,1995,826832314
Pop,1987,526030670
Pop,1979,346137424
Pop,1995,256361972
Pop,1987,349629692
Pop,2014,280500270
Pop,2014,280500270
Dance/Electronic,2012,995490565
Dance/Electronic,2013,995490565
Dance/Electronic,2010,502735560
Dance/Electronic,2011,502735560
Dance/Electronic,2012,476783121
Dance/Electronic,2012,476783121
Dance/Electronic,2017,662431775
Dance/Electronic,2018,662431775
Hip Hop,2002,1457351902
Hip Hop,2000,1232567233
Hip Hop,2000,799979337
Hip Hop,2010,1115478746
Dance/Electronic,2014,1143833476
Dance/Electronic,2014,1143833476
Metal,2003,203066841
Dance/Electronic,2018,1322057199
Pop,2019,1241240312
Rock,1969,942898131
Rock,1970,526788025
Rock,1969,574936342
Rock,1965,475131674
Rock,1963,341963190
Rock,1968,326733164
Rock,1965,266426563
Rock,2000,334903879
Rock,1969,233382117
Dance/Electronic,2015,981156901
Dance/Electronic,2013,481224452
Dance/Electronic,2015,424022714
Pop,1961,642724292
Pop,1969,355940570
Pop,1973,217996516
Pop,1982,126445901
Pop,1973,126445901
Pop,1969,138978979
Pop,2002,107417556
R&B/Soul,2007,411056377
R&B/Soul,1995,243928109
Dance/Electronic,2002,202521145
Dance/Electronic,2015,1404231856
Dance/Electronic,2014,1404231856
Dance/Electronic,2016,1538447140
Dance/Electronic,2015,733035056
Rock,1977,800258505
Rock,1987,615384523
Rock,1977,732367244
Rock,1975,512338633
Rock,1977,252302426
Rock,1975,302893047
Pop,1976,877774503
Pop,1979,519184335
Pop,1975,375576936
Pop,1980,295039369
Pop,1977,250065301
Pop,1980,252601051
Pop,1974,222521002
Pop,1979,210743145
Pop,1980,208513838
Pop,1969,329370178
Dance/Electronic,2017,329370178
Pop,1962,506872698
Pop,1966,212972149
Rock,1983,649281620
Rock,1972,828968108
Rock,1970,654292280
Rock,1990,562468940
Rock,1971,606925181
Rock,1973,242563343
Hip Hop,2011,1054470731
Hip Hop,2009,678424384
Hip Hop,2004,778880225
Hip Hop,2011,1054470731
Dance/Electronic,2003,836260550
Dance/Electronic,2008,1257746758
Dance/Electronic,2011,524847088
Dance/Electronic,2011,524847088
Pop,2018,739180747
Dance/Electronic,2011,480726300
Dance/Electronic,2011,480726300
Jazz/Latin,2019,1506598267
Dance/Electronic,2019,866702211
Dance/Electronic,1994,1437977604
Dance/Electronic,1977,257187137
Rock,1979,0
Rock,1981,557368632
Rock,1973,0
Rock,1979,0
Rock,1973,0
Rock,1973,0
Rock,1979,0
Rock,1973,0
Metal,2001,949503301
Pop,2015,181343293
Pop,2015,181343293
Rock,1994,778937392
Rock,2004,706697133
Rock,1997,493904399
Rock,2004,572329705
Rock,2017,551065028
Rock,1994,373991248
Rock,2009,470768474
Rock,2017,215950182
Rock,2006,407737878
Rock,2009,496116359
Rock,2006,316493449
Rock,2006,188191094
