Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
"Hey, Soul Sister",2010,0.19,0.67,0.89,0.08,0.04,0.8
Love The Way You Lie,2010,0.24,0.75,0.93,0.52,0.23,0.64
TiK ToK,2010,0.1,0.76,0.84,0.29,0.14,0.71
Bad Romance,2010,0,0.7,0.92,0.08,0.04,0.71
Just the Way You Are,2010,0.02,0.64,0.84,0.09,0.04,0.43
Baby,2010,0.04,0.73,0.86,0.11,0.14,0.54
Dynamite,2010,0,0.6,0.78,0.04,0.09,0.82
Secrets,2010,0.07,0.52,0.76,0.12,0.04,0.38
Empire State of Mind (Part II) Broken Down,2010,0.74,0.48,0.37,0.12,0.03,0.14
Only Girl (In The World),2010,0.13,0.79,0.72,0.07,0.04,0.61
Club Can't Handle Me (feat. David Guetta),2010,0.03,0.62,0.87,0.06,0.03,0.47
Marry You,2010,0.33,0.62,0.83,0.1,0.04,0.48
Cooler Than Me - Single Mix,2010,0.18,0.77,0.82,0.7,0.05,0.63
Telephone,2010,0.01,0.83,0.83,0.11,0.04,0.71
Like A G6,2010,0.01,0.44,0.84,0.12,0.45,0.78
OMG (feat. will.i.am),2010,0.2,0.78,0.75,0.36,0.03,0.33
Eenie Meenie,2010,0.05,0.72,0.61,0.11,0.03,0.83
The Time (Dirty Bit),2010,0.07,0.82,0.81,0.6,0.07,0.44
Alejandro,2010,0,0.63,0.8,0.36,0.05,0.37
Your Love Is My Drug,2010,0.01,0.83,0.61,0.09,0.1,0.76
Meet Me Halfway,2010,0,0.8,0.63,0.32,0.07,0.4
Whataya Want from Me,2010,0.01,0.44,0.68,0.06,0.05,0.45
Take It Off,2010,0,0.73,0.68,0.09,0.03,0.74
Misery,2010,0,0.7,0.81,0.22,0.04,0.73
All The Right Moves,2010,0.26,0.53,0.95,0.28,0.05,0.65
Animal,2010,0,0.48,0.83,0.38,0.04,0.74
Naturally,2010,0.02,0.61,0.9,0.05,0.05,0.88
I Like It,2010,0.02,0.65,0.94,0.06,0.09,0.73
Teenage Dream,2010,0.02,0.72,0.8,0.13,0.04,0.59
California Gurls,2010,0,0.79,0.75,0.18,0.05,0.4
3,2010,0.05,0.7,0.71,0.14,0.05,0.79
My First Kiss - feat. Ke$ha,2010,0.01,0.68,0.89,0.36,0.08,0.83
Blah Blah Blah (feat. 3OH!3),2010,0.08,0.75,0.84,0.42,0.12,0.52
Imma Be,2010,0.18,0.6,0.52,0.31,0.37,0.41
Try Sleeping with a Broken Heart,2010,0.16,0.5,0.82,0.13,0.11,0.55
Sexy Bitch (feat. Akon),2010,0.08,0.81,0.63,0.13,0.05,0.8
Bound To You - Burlesque Original Motion Picture Soundtrack,2010,0.83,0.29,0.41,0.13,0.03,0.07
If I Had You,2010,0.01,0.65,0.91,0.37,0.11,0.79
Rock That Body,2010,0.02,0.72,0.91,0.43,0.1,0.84
Dog Days Are Over,2010,0.03,0.5,0.81,0.12,0.09,0.26
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,2010,0.47,0.51,0.85,0.12,0.27,0.72
Doesn't Mean Anything,2010,0.04,0.71,0.41,0.1,0.03,0.1
Hard,2010,0.01,0.31,0.75,0.65,0.11,0.16
Loca,2010,0.19,0.8,0.87,0.09,0.07,0.85
You Lost Me,2010,0.85,0.23,0.39,0.14,0.04,0.07
Not Myself Tonight,2010,0,0.76,0.81,0.56,0.04,0.54
Written in the Stars (feat. Eric Turner),2010,0.06,0.64,0.95,0.18,0.07,0.57
DJ Got Us Fallin' In Love (feat. Pitbull),2010,0.03,0.66,0.86,0.08,0.11,0.65
Castle Walls (feat. Christina Aguilera),2010,0.07,0.45,0.86,0.26,0.39,0.58
Break Your Heart,2010,0,0.67,0.9,0.08,0.03,0.63
Hello,2010,0.01,0.67,0.98,0.1,0.03,0.45
A Thousand Years,2011,0.31,0.42,0.41,0.11,0.03,0.16
Someone Like You,2011,0.89,0.56,0.33,0.1,0.03,0.28
Give Me Everything,2011,0.19,0.67,0.94,0.3,0.16,0.53
Just the Way You Are,2011,0.02,0.64,0.84,0.09,0.04,0.43
Rolling in the Deep,2011,0.13,0.73,0.76,0.05,0.03,0.52
Run the World (Girls),2011,0,0.73,0.9,0.37,0.14,0.76
Moves Like Jagger - Studio Recording From The Voice Performance,2011,0.01,0.72,0.76,0.32,0.05,0.62
Love On Top,2011,0.08,0.65,0.75,0.6,0.09,0.65
Grenade,2011,0.15,0.71,0.56,0.12,0.06,0.23
Tonight Tonight,2011,0.08,0.69,0.78,0.16,0.12,0.81
What the Hell,2011,0,0.58,0.93,0.14,0.05,0.88
Born This Way,2011,0,0.59,0.83,0.33,0.16,0.49
Monster,2011,0,0.63,0.69,0.67,0.2,0.1
Marry You,2011,0.33,0.62,0.83,0.1,0.04,0.48
Best Thing I Never Had,2011,0.14,0.55,0.65,0.09,0.03,0.3
Party Rock Anthem,2011,0.02,0.75,0.74,0.27,0.16,0.35
We R Who We R,2011,0.01,0.74,0.82,0.12,0.04,0.65
Price Tag,2011,0.03,0.64,0.83,0.27,0.18,0.68
Good Life,2011,0.08,0.63,0.69,0.13,0.05,0.65
Just Can’t Get Enough,2011,0.19,0.66,0.63,0.11,0.18,0.26
On The Floor,2011,0.11,0.73,0.78,0.07,0.05,0.57
What's My Name?,2011,0.23,0.69,0.79,0.08,0.07,0.58
Yeah 3x,2011,0,0.71,0.88,0.09,0.04,0.7
Without You (feat. Usher),2011,0.23,0.61,0.61,0.16,0.03,0.4
Sexy And I Know It,2011,0.1,0.71,0.86,0.19,0.32,0.8
The Edge Of Glory,2011,0,0.58,0.77,0.11,0.04,0.36
E.T.,2011,0.02,0.62,0.87,0.37,0.18,0.76
Till the World Ends,2011,0.02,0.69,0.71,0.2,0.07,0.45
I Wanna Go,2011,0,0.7,0.55,0.33,0.04,0.79
Blow,2011,0,0.75,0.73,0.07,0.04,0.81
You And I,2011,0.09,0.52,0.7,0.09,0.05,0.52
Judas,2011,0,0.66,0.93,0.27,0.07,0.53
Tonight (I'm Fuckin' You),2011,0.03,0.65,0.89,0.12,0.05,0.32
Please Don't Go,2011,0,0.7,0.88,0.13,0.03,0.66
We Found Love,2011,0.03,0.73,0.77,0.11,0.04,0.6
Marry The Night,2011,0,0.61,0.88,0.46,0.06,0.38
1+1,2011,0.38,0.3,0.38,0.07,0.03,0.26
Hold It Against Me,2011,0.01,0.65,0.72,0.24,0.04,0.39
I'm Into You,2011,0.02,0.59,0.75,0.08,0.14,0.7
Papi,2011,0.13,0.71,0.81,0.37,0.06,0.89
Cheers (Drink To That),2011,0.02,0.58,0.91,0.29,0.04,0.73
S&M Remix,2011,0.05,0.82,0.81,0.05,0.05,0.89
Written in the Stars (feat. Eric Turner),2011,0.06,0.64,0.95,0.18,0.07,0.57
Jar of Hearts,2011,0.73,0.35,0.35,0.12,0.03,0.09
Castle Walls (feat. Christina Aguilera),2011,0.07,0.45,0.86,0.26,0.39,0.58
Turning Page,2011,0.91,0.3,0.38,0.11,0.03,0.19
Super Bass,2011,0.06,0.77,0.74,0.4,0.23,0.59
Raise Your Glass,2011,0,0.68,0.64,0.12,0.12,0.56
